,word1,word2,prediction
0,abandon,frost,-0.8407876136792776
1,abandon,railroad,-0.8356796511144351
2,abortion,religion,-0.427657515872503
3,abstract,candle,-0.6727133802525239
4,abstract,frog,-0.670331435066619
5,abstract,moon,-0.7058039505896158
6,abstract,rally,-0.8768666155463187
7,abuse,abuse,0.0
8,abuse,disorder,-0.46127519765342284
9,accommodate,adjust,-0.499031900156217
10,accommodation,accommodation,0.0
11,accompany,walking,-0.7505847585000595
12,account,explanation,-0.631470433313995
13,account,invoice,-0.4975913448781931
14,act,improvement,-0.7959369148496283
15,action,adjustment,-0.5809422449407036
16,action,entrance,-0.8838871646494397
17,activity,solo,-0.9008565996904724
18,activity,variation,-0.7101346312065154
19,actor,amateur,-0.5275867090885239
20,ad,track,-0.8058195948739988
21,add,increased,-0.8295098708822595
22,add,string,-0.7170398203741518
23,addition,segment,-0.5468001695970159
24,admitting,confess,-0.37086779776654943
25,adult,dentist,-0.6577169491012667
26,advance,advance,0.0
27,advance,string,-0.7027256066241667
28,advice,recommendation,-0.5414024523225118
29,advised,murder,-0.8262994084917312
30,aerial,clown,-0.753197010622659
31,africa,territory,-0.6076081934922438
32,age,history,-0.6361462979137589
33,agency,police,-0.5789620486658594
34,aim,intending,-0.57538684704328
35,air,cold,-0.6017250272162304
36,air,plasma,-0.6765570329038444
37,air,satellite,-0.6663758869793619
38,aircraft,fleet,-0.30525744234667096
39,aircraft,flight,-0.35466492371621106
40,aircraft,yacht,-0.601349518621747
41,airplane,plane,-0.1583741113053666
42,ale,bitter,-0.5960587161935567
43,alley,street,-0.3078846238461409
44,aluminum,component,-0.531797274638339
45,aluminum,imperative,-0.8490901211265217
46,american,lobster,-0.8332843434454154
47,ammunition,intolerable,-0.8713233346512907
48,amount,number,-0.3497673748830449
49,amounted,make,-0.7044169889935353
50,amusement,athletics,-0.7880042221977599
51,amusement,procedure,-0.8728319347463732
52,anatomy,palm,-0.8293863514436522
53,ancient,city,-0.6149259988271509
54,angel,asphalt,-0.7434003894370484
55,angel,pod,-0.7051095968834414
56,angrier,stormy,-0.7382223603070858
57,animal,asia,-0.8007555347138486
58,animal,flora,-0.5548232077159035
59,animal,giraffe,-0.49147886489285697
60,animal,mural,-0.6669268606699377
61,animal,wild,-0.4416297705623782
62,animal,worm,-0.48517051540480594
63,animal,zoo,-0.40634471913913106
64,anniversary,marriage,-0.7250273939551537
65,answering,counter,-0.7073902081083303
66,anxiety,insecurities,-0.38643580017756407
67,apartment,staircase,-0.4886739594164431
68,appliance,dryer,-0.4956310006717274
69,appreciate,see,-0.40229329696623617
70,approach,avenue,-0.9011643221289511
71,approach,merit,-0.6767553854731089
72,approach,trench,-0.7998273241999887
73,approval,encouragement,-0.6377158852971363
74,approving,interaction,-0.7670042779936544
75,aquarium,coin,-0.7277329653805111
76,arch,brick,-0.4602575428897895
77,arch,roof,-0.49718988824781174
78,architecture,urban,-0.379584249983156
79,area,space,-0.5768558251347541
80,argument,evidence,-0.5114703668643686
81,arm,bicycle,-0.5890855355718423
82,arm,television,-0.8353338399539605
83,arrange,discard,-0.3156273806872879
84,arrange,study,-0.9144089970584752
85,arrangement,blizzard,-0.8265067184336286
86,arrangement,room,-0.7544158985726175
87,art,craft,-0.5402265450941051
88,art,gem,-0.5018170984990836
89,art,museum,-0.29227648262641126
90,art,painting,-0.2593712741612323
91,article,cup,-0.9434214721703055
92,article,girl,-0.8666956562559873
93,ash,bone,-0.700686181863988
94,ash,coil,-0.639974901960281
95,asphalt,crane,-0.5769941820781046
96,asphalt,water,-0.45115760441197006
97,assets,exclude,-0.6869245323252868
98,association,organization,-0.4082785308557648
99,association,realtor,-0.7148234654503071
